"","Gene.ID","Uniq_Name","KH2013","X","KYname","KHname","Description","name","ENSMUSG","ENSMUST","annotation_1","annotation_2","loc","SNR","variance","denoised_SNR","denoised_variance","gene_network_leiden","gene_network_n","leiden","gene_clusters_leiden","scores","logfoldchanges","pvals","pvals_adj"
"KY.Chr1.1031","KY.Chr1.1031","Arf6-KY.Chr1.1031","KH.C1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"KY.Chr1.1032","KY.Chr1.1032","Gm382-KY.Chr1.1032","KH.C1.1299","Gm382-KY.Chr1.1032","HDLBP","HDLBP","X:127039972:127063986:1 ENSMUSG00000062791.4 ENSMUST00000096332.1 protein_coding protein_coding Gm382 predicted gene 382 [Source:MGI Symbol;Acc:MGI:2685228]","Gm382","ENSMUSG00000062791.4","ENSMUST00000096332.1","protein_coding","protein_coding","X:127039972:127063986:1",2.17968782274639,2.5236993,0.759176846040044,1.4261724,1,11,6,4,5.66413,0.4745798,2.19052972000088e-08,3.89888536055023e-08
"KY.Chr1.1033","KY.Chr1.1033","Pask-KY.Chr1.1033","KH.C1.463","Pask-KY.Chr1.1033","PASK","PASK","1:93308778:93342789:-1 ENSMUSG00000026274.11 ENSMUST00000027493.3 protein_coding protein_coding Pask PAS domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:2155936]","Pask","ENSMUSG00000026274.11","ENSMUST00000027493.3","protein_coding","protein_coding","1:93308778:93342789:-1",0.580825630257993,0.82761973,0.439964222425267,1.1237938,4,38,3,5,17.291597,2.056266,8.73189986028555e-59,8.24287313600858e-58
"KY.Chr1.1036","KY.Chr1.1036","Gm5136-KY.Chr1.1036","KH.C1.617","Gm5136-KY.Chr1.1036","BRCC3","BRCC3","10:108698764:108700160:-1 ENSMUSG00000112039.1 ENSMUST00000218023.1 protein_coding protein_coding Gm5136 predicted gene 5136 [Source:MGI Symbol;Acc:MGI:3647286]","Gm5136","ENSMUSG00000112039.1","ENSMUST00000218023.1","protein_coding","protein_coding","10:108698764:108700160:-1",0.208962448076162,0.1803352,0.143469155713441,0.25981295,3,31,3,3,3.5919082,1.0666755,0.00034471145477274,0.000479662322173132
"KY.Chr1.1041","KY.Chr1.1041","Dkc1-KY.Chr1.1041","KH.C1.145","Dkc1-KY.Chr1.1041","DKC1","DKC1","X:75095854:75109777:1 ENSMUSG00000031403.14 ENSMUST00000033776.14 protein_coding protein_coding Dkc1 dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]","Dkc1","ENSMUSG00000031403.14","ENSMUST00000033776.14","protein_coding","protein_coding","X:75095854:75109777:1",1.44841423367765,1.6627926,1.34584852971597,1.7340941,4,17,4,10,43.70941,3.5584266,1.83105018054704e-201,4.53601067453698e-199
"KY.Chr1.1042","KY.Chr1.1042","Cab39-KY.Chr1.1042","KH.C1.382","Cab39-KY.Chr1.1042","CAB39","CAB39L/1","1:85794511:85850365:1 ENSMUSG00000036707.16 ENSMUST00000097666.3 protein_coding protein_coding Cab39 calcium binding protein 39 [Source:MGI Symbol;Acc:MGI:107438]","Cab39","ENSMUSG00000036707.16","ENSMUST00000097666.3","protein_coding","protein_coding","1:85794511:85850365:1",0.400288113675825,0.9719362,0.289681734835379,0.87304676,2,14,8,7,6.8121924,0.9526818,1.73094718287566e-11,3.61074080633032e-11
"KY.Chr1.1043","KY.Chr1.1043","Alg13-KY.Chr1.1043","KH.C1.77","Alg13-KY.Chr1.1043","OTUD4","KH2013:KH.C1.77_ALG13","X:144317804:144374450:1 ENSMUSG00000041718.16 ENSMUST00000238864.1 protein_coding protein_coding Alg13 asparagine-linked glycosylation 13 [Source:MGI Symbol;Acc:MGI:1914824]","Alg13","ENSMUSG00000041718.16","ENSMUST00000238864.1","protein_coding","protein_coding","X:144317804:144374450:1",0.271491324864671,0.26175317,0.1968653079872,0.38139683,1,29,2,13,4.3822813,1.0131378,1.30209509967617e-05,1.99188387721794e-05
"KY.Chr1.1045","KY.Chr1.1045","BC048403-KY.Chr1.1045","KH.C1.276","BC048403-KY.Chr1.1045","C12orf66","C12ORF66","10:121739937:121752865:1 ENSMUSG00000053684.8 ENSMUST00000065600.7 protein_coding protein_coding BC048403 cDNA sequence BC048403 [Source:MGI Symbol;Acc:MGI:2670984]","BC048403","ENSMUSG00000053684.8","ENSMUST00000065600.7","protein_coding","protein_coding","10:121739937:121752865:1",0.409212774587819,0.53690094,0.311351955131926,0.85190684,4,19,3,5,12.313024,1.9844512,1.49187302908137e-32,7.00520506188407e-32
"KY.Chr1.1046","KY.Chr1.1046","Snrnp70-KY.Chr1.1046","KH.C1.994","Snrnp70-KY.Chr1.1046","SNRNP70","SNRNP35/70","7:45383773:45395194:-1 ENSMUSG00000063511.11 ENSMUST00000209858.1 protein_coding protein_coding Snrnp70 small nuclear ribonucleoprotein 70 (U1) [Source:MGI Symbol;Acc:MGI:98341]","Snrnp70","ENSMUSG00000063511.11","ENSMUST00000209858.1","protein_coding","protein_coding","7:45383773:45395194:-1",2.29710328185013,2.6667855,2.12018163532153,1.812316,2,7,4,7,21.398392,1.0888647,3.88869762003958e-69,4.52206302188102e-68
"KY.Chr1.1049","KY.Chr1.1049","Slc6a5-KY.Chr1.1049","KH.C1.1124","Slc6a5-KY.Chr1.1049","SLC6A14","KH2013:KH.C1.1124_SLC6A14","7:49911700:49959493:1 ENSMUSG00000039728.15 ENSMUST00000107605.2 protein_coding protein_coding Slc6a5 solute carrier family 6 (neurotransmitter transporter, glycine), member 5 [Source:MGI Symbol;Acc:MGI:105090]","Slc6a5","ENSMUSG00000039728.15","ENSMUST00000107605.2","protein_coding","protein_coding","7:49911700:49959493:1",0.237792463143048,0.21904176,0.183287343689446,0.17607428,0,4,0,1,-2.994547,-1.1408917,0.00287165229593312,0.00374832468773005
"KY.Chr1.1053","KY.Chr1.1053","Ncapd2-KY.Chr1.1053","KH.C1.471","Ncapd2-KY.Chr1.1053","NCAPD2","NCAPD2","6:125168007:125191701:-1 ENSMUSG00000038252.13 ENSMUST00000043848.10 protein_coding protein_coding Ncapd2 non-SMC condensin I complex, subunit D2 [Source:MGI Symbol;Acc:MGI:1915548]","Ncapd2","ENSMUSG00000038252.13","ENSMUST00000043848.10","protein_coding","protein_coding","6:125168007:125191701:-1",1.01803863384203,1.2082002,0.892081684638691,1.3277507,3,44,5,11,23.310526,1.9723876,4.93635743893327e-89,9.27694760075389e-88
"KY.Chr1.1059","KY.Chr1.1059","KY2019:KY.Chr1.1059","KH.C1.1013","KY2019:KY.Chr1.1059","LRBA","KH2013:KH.C1.1013","nan","nan","nan","nan","nan","nan","nan",0.658887901005659,2.9481087,0.492204811508571,2.8495128,2,13,8,2,17.332344,2.7751024,4.30233128399996e-59,4.09924921290206e-58
"KY.Chr1.1060","KY.Chr1.1060","KY2019:KY.Chr1.1060","KH.C1.392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.020006,-6.3868637,2.46255545878643e-39,1.40386268309478e-38
"KY.Chr1.1061","KY.Chr1.1061","Selenoi-KY.Chr1.1061","KH.C1.1249","Selenoi-KY.Chr1.1061","SELENOI","EPT1","5:30232581:30272427:1 ENSMUSG00000075703.15 ENSMUST00000145167.7 protein_coding protein_coding Selenoi selenoprotein I [Source:MGI Symbol;Acc:MGI:107898]","Selenoi","ENSMUSG00000075703.15","ENSMUST00000145167.7","protein_coding","protein_coding","5:30232581:30272427:1",0.413709852615419,0.69375277,0.295855061576218,0.875009,2,9,8,2,8.921903,1.3209593,2.33957408854135e-18,6.67807897130779e-18
"KY.Chr1.1062","KY.Chr1.1062","Selp-KY.Chr1.1062","KH.C1.502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"KY.Chr1.1065","KY.Chr1.1065","Tgs1-KY.Chr1.1065","KH.C1.767","Tgs1-KY.Chr1.1065","TGS1","TGS1","4:3574875:3616619:1 ENSMUSG00000028233.6 ENSMUST00000052712.5 protein_coding protein_coding Tgs1 trimethylguanosine synthase 1 [Source:MGI Symbol;Acc:MGI:2151797]","Tgs1","ENSMUSG00000028233.6","ENSMUST00000052712.5","protein_coding","protein_coding","4:3574875:3616619:1",0.56186553738332,0.69607264,0.412734613175326,0.95729345,3,13,2,3,10.688176,1.3723274,3.23791936065572e-25,1.20702192308985e-24
"KY.Chr1.1066","KY.Chr1.1066","Higd1a-KY.Chr1.1066","KH.C1.908","Higd1a-KY.Chr1.1066","HIGD1A","HIGD1A","9:121849539:121857535:-1 ENSMUSG00000038412.8 ENSMUST00000213124.1 protein_coding protein_coding Higd1a HIG1 domain family, member 1A [Source:MGI Symbol;Acc:MGI:1930666]","Higd1a","ENSMUSG00000038412.8","ENSMUST00000213124.1","protein_coding","protein_coding","9:121849539:121857535:-1",0.930941783976541,1.5475647,0.726009773295597,1.3380086,0,11,0,4,0.20059831,0.016984908,0.841070501340272,0.874777525248947
"KY.Chr1.1070","KY.Chr1.1070","Ndufaf5-KY.Chr1.1070","KH.C1.466","Ndufaf5-KY.Chr1.1070","NDUFAF5","HRSP12","2:140170649:140203689:1 ENSMUSG00000027384.6 ENSMUST00000044825.4 protein_coding protein_coding Ndufaf5 NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:MGI Symbol;Acc:MGI:1916737]","Ndufaf5","ENSMUSG00000027384.6","ENSMUST00000044825.4","protein_coding","protein_coding","2:140170649:140203689:1",0.311635762671072,0.54357094,0.173996337846806,0.43061835,0,22,0,1,0.64388394,0.13895442,0.519842031665291,0.556099006655817
"KY.Chr1.1072","KY.Chr1.1072","Trappc9-KY.Chr1.1072","KH.C1.564","Trappc9-KY.Chr1.1072","TRAPPC9","TRAPPC9","15:72589620:73061204:-1 ENSMUSG00000047921.17 ENSMUST00000089770.10 protein_coding protein_coding Trappc9 trafficking protein particle complex 9 [Source:MGI Symbol;Acc:MGI:1923760]","Trappc9","ENSMUSG00000047921.17","ENSMUST00000089770.10","protein_coding","protein_coding","15:72589620:73061204:-1",0.283248237190191,0.45784312,0.202233068645587,0.5777066,3,45,3,3,6.8717046,1.4195334,1.12190046612108e-11,2.36745903731023e-11
"KY.Chr1.1073","KY.Chr1.1073","Arhgap39-KY.Chr1.1073","KH.C1.514","Arhgap39-KY.Chr1.1073","ARHGAP39","ARHGAP39","15:76723985:76818170:-1 ENSMUSG00000033697.16 ENSMUST00000239134.1 protein_coding protein_coding Arhgap39 Rho GTPase activating protein 39 [Source:MGI Symbol;Acc:MGI:107858]","Arhgap39","ENSMUSG00000033697.16","ENSMUST00000239134.1","protein_coding","protein_coding","15:76723985:76818170:-1",0.465358339040547,1.000758,0.34791639249886,1.0615547,1,16,6,0,3.7219403,0.5067696,0.000212504818234118,0.000300091015557767
"KY.Chr1.1076","KY.Chr1.1076","Polr3gl-KY.Chr1.1076","KH.C1.66","Polr3gl-KY.Chr1.1076","POLR3GL","POLR3GL","3:96577872:96594181:-1 ENSMUSG00000028104.14 ENSMUST00000091924.9 protein_coding protein_coding Polr3gl polymerase (RNA) III (DNA directed) polypeptide G like [Source:MGI Symbol;Acc:MGI:1917120]","Polr3gl","ENSMUSG00000028104.14","ENSMUST00000091924.9","protein_coding","protein_coding","3:96577872:96594181:-1",0.572416768094792,1.0844536,0.433964788341462,1.140262,1,13,2,0,9.139497,1.0784037,4.8081783963816e-19,1.41137732102045e-18
"KY.Chr1.1077","KY.Chr1.1077","KY2019:KY.Chr1.1077","KH.C1.1040","KY2019:KY.Chr1.1077","TNFSF13","CG6770","nan","nan","nan","nan","nan","nan","nan",1.24078065042461,1.7269027,0.568415943654619,1.1680193,0,15,0,4,2.0061264,0.24158354,0.0452407022804143,0.0537484001078894
"KY.Chr1.1079","KY.Chr1.1079","Axdnd1-KY.Chr1.1079","KH.C1.871","Axdnd1-KY.Chr1.1079","AXDND1","AXDND1","1:156323509:156421159:-1 ENSMUSG00000026601.14 ENSMUST00000178036.7 protein_coding protein_coding Axdnd1 axonemal dynein light chain domain containing 1 [Source:MGI Symbol;Acc:MGI:1924602]","Axdnd1","ENSMUSG00000026601.14","ENSMUST00000178036.7","protein_coding","protein_coding","1:156323509:156421159:-1",0.260039386717938,0.31849158,0.16836219448662,0.38261667,0,49,2,0,3.7264814,0.9310962,0.000206034470061695,0.000291370858831626
"KY.Chr1.1080","KY.Chr1.1080","Pop1-KY.Chr1.1080","KH.C1.341","Pop1-KY.Chr1.1080","POP1","POP1","15:34495323:34530637:1 ENSMUSG00000022325.14 ENSMUST00000079028.5 protein_coding protein_coding Pop1 processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914974]","Pop1","ENSMUSG00000022325.14","ENSMUST00000079028.5","protein_coding","protein_coding","15:34495323:34530637:1",0.696078873782769,1.0517883,0.571394719895199,1.1403971,1,43,2,0,10.524957,1.1016413,2.8143866057973e-24,1.002073628153e-23
"KY.Chr1.1082","KY.Chr1.1082","Mnat1-KY.Chr1.1082","KH.S999.5","Mnat1-KY.Chr1.1082","PRELID3A","KH2013:KH.S999.5","12:73123717:73273988:1 ENSMUSG00000021103.12 ENSMUST00000021523.6 protein_coding protein_coding Mnat1 menage a trois 1 [Source:MGI Symbol;Acc:MGI:106207]","Mnat1","ENSMUSG00000021103.12","ENSMUST00000021523.6","protein_coding","protein_coding","12:73123717:73273988:1",0.303089776343085,0.347109,0.202965273981961,0.4703037,0,37,2,13,3.8847466,0.88398075,0.000109436897941897,0.000157452770270153
"KY.Chr1.1086","KY.Chr1.1086","Ttc4-KY.Chr1.1086","KH.S999.4","Ttc4-KY.Chr1.1086","TMEM254","KH2013:KH.S999.4","4:106662256:106678944:-1 ENSMUSG00000025413.13 ENSMUST00000026480.12 protein_coding protein_coding Ttc4 tetratricopeptide repeat domain 4 [Source:MGI Symbol;Acc:MGI:1919604]","Ttc4","ENSMUSG00000025413.13","ENSMUST00000026480.12","protein_coding","protein_coding","4:106662256:106678944:-1",0.438175434481293,0.81154084,0.312415624049559,0.9925484,1,13,6,0,7.11299,1.0002499,2.28882679863683e-12,4.98432580683433e-12
"KY.Chr1.11","KY.Chr1.11","Gcc1-KY.Chr1.11","KH.L60.4","Gcc1-KY.Chr1.11","GCC1","GCC1","6:28417829:28428390:-1 ENSMUSG00000029708.9 ENSMUST00000064377.6 protein_coding protein_coding Gcc1 golgi coiled coil 1 [Source:MGI Symbol;Acc:MGI:1921625]","Gcc1","ENSMUSG00000029708.9","ENSMUST00000064377.6","protein_coding","protein_coding","6:28417829:28428390:-1",0.322266685147772,0.5024746,0.199095915387978,0.5659274,1,33,5,6,8.182371,1.7983359,8.30939699771797e-16,2.12677897483858e-15
"KY.Chr1.1113","KY.Chr1.1113","Bicc1-KY.Chr1.1113","KH.C1.971","Bicc1-KY.Chr1.1113","BICC1","BICC/1","10:70925102:71159690:-1 ENSMUSG00000014329.14 ENSMUST00000014473.5 protein_coding protein_coding Bicc1 BicC family RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1933388]","Bicc1","ENSMUSG00000014329.14","ENSMUST00000014473.5","protein_coding","protein_coding","10:70925102:71159690:-1",0.478534260664883,0.7939572,0.375185250147533,0.85429645,0,15,0,4,2.4044082,0.30168143,0.0164294668254243,0.0202580529861001
"KY.Chr1.1116","KY.Chr1.1116","Axin2-KY.Chr1.1116","KH.C1.97","Axin2-KY.Chr1.1116","AXIN1","AXIN1/2","11:108920349:108950783:1 ENSMUSG00000000142.15 ENSMUST00000052915.13 protein_coding protein_coding Axin2 axin 2 [Source:MGI Symbol;Acc:MGI:1270862]","Axin2","ENSMUSG00000000142.15","ENSMUST00000052915.13","protein_coding","protein_coding","11:108920349:108950783:1",0.309072739144871,0.4611167,0.226234399622127,0.44780123,0,22,0,1,1.4916744,0.30639467,0.136151064271737,0.15527831339585
"KY.Chr1.1119","KY.Chr1.1119","Ankrd12-KY.Chr1.1119","KH.C1.1140","Ankrd12-KY.Chr1.1119","ANKRD12","ANKRD11/12","17:65965698:66077073:-1 ENSMUSG00000034647.15 ENSMUST00000038116.12 protein_coding protein_coding Ankrd12 ankyrin repeat domain 12 [Source:MGI Symbol;Acc:MGI:1914357]","Ankrd12","ENSMUSG00000034647.15","ENSMUST00000038116.12","protein_coding","protein_coding","17:65965698:66077073:-1",0.563103830154425,1.18495,0.435717037809354,1.2936618,5,14,4,2,8.008654,0.79234356,3.92021731918841e-15,9.73800564702682e-15
"KY.Chr1.1120","KY.Chr1.1120","Golph3-KY.Chr1.1120","KH.C1.1032","Golph3-KY.Chr1.1120","GOLPH3","GOLPH3","15:12321450:12351265:1 ENSMUSG00000022200.8 ENSMUST00000059680.6 protein_coding protein_coding Golph3 golgi phosphoprotein 3 [Source:MGI Symbol;Acc:MGI:1913879]","Golph3","ENSMUSG00000022200.8","ENSMUST00000059680.6","protein_coding","protein_coding","15:12321450:12351265:1",0.757964626983463,1.390813,0.32831016883971,0.9326683,6,33,0,14,-1.7004911,-0.20214605,0.0894683663486913,0.103774672942757
"KY.Chr1.1122","KY.Chr1.1122","Gls-KY.Chr1.1122","KH.C1.307","Gls-KY.Chr1.1122","GLS","GLS/2","1:52184104:52233232:-1 ENSMUSG00000026103.14 ENSMUST00000114510.7 protein_coding protein_coding Gls glutaminase [Source:MGI Symbol;Acc:MGI:95752]","Gls","ENSMUSG00000026103.14","ENSMUST00000114510.7","protein_coding","protein_coding","1:52184104:52233232:-1",0.370832085652282,0.53344846,0.279129116570288,0.5947964,0,15,0,1,-1.5201991,-0.25679824,0.128923225271877,0.147302217553822
"KY.Chr1.1123","KY.Chr1.1123","Nab1-KY.Chr1.1123","KH.C1.1198","Nab1-KY.Chr1.1123","NUS1","NUS1","1:52459218:52490736:-1 ENSMUSG00000002881.14 ENSMUST00000170269.1 protein_coding protein_coding Nab1 Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]","Nab1","ENSMUSG00000002881.14","ENSMUST00000170269.1","protein_coding","protein_coding","1:52459218:52490736:-1",0.572291217237203,1.1742575,0.381925558752993,0.9211823,0,26,2,0,6.1264014,0.8216232,1.36459413770445e-09,2.60339721720743e-09
"KY.Chr1.1124","KY.Chr1.1124","Etv1-KY.Chr1.1124","KH.C1.196","Etv1-KY.Chr1.1124","ETV1","ETV1/4/5","12:38783481:38865961:1 ENSMUSG00000004151.17 ENSMUST00000160701.7 protein_coding protein_coding Etv1 ets variant 1 [Source:MGI Symbol;Acc:MGI:99254]","Etv1","ENSMUSG00000004151.17","ENSMUST00000160701.7","protein_coding","protein_coding","12:38783481:38865961:1",0.450026695005977,0.89350957,0.293885976061344,0.872973,2,15,8,2,2.5226765,0.31946602,0.0118416919910146,0.0147727501948031
"KY.Chr1.1125","KY.Chr1.1125","Fut11-KY.Chr1.1125","KH.C1.1159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1278412,0.36301467,0.25971081932054,0.288273720019744
"KY.Chr1.1126","KY.Chr1.1126","Aldh18a1-KY.Chr1.1126","KH.C1.910","Aldh18a1-KY.Chr1.1126","LRP2","KH2013:KH.C1.910_RXFP1","19:40550257:40588463:-1 ENSMUSG00000025007.13 ENSMUST00000025979.12 protein_coding protein_coding Aldh18a1 aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]","Aldh18a1","ENSMUSG00000025007.13","ENSMUST00000025979.12","protein_coding","protein_coding","19:40550257:40588463:-1",0.440435857001297,1.0176133,0.292818768912543,1.0368133,2,21,8,7,6.831881,0.99957776,1.55009809774265e-11,3.24176309773501e-11
"KY.Chr1.1128","KY.Chr1.1128","Sf3b1-KY.Chr1.1128","KH.C1.389","Sf3b1-KY.Chr1.1128","SF3B1","SF3B1","1:54985169:55027481:-1 ENSMUSG00000025982.13 ENSMUST00000027127.13 protein_coding protein_coding Sf3b1 splicing factor 3b, subunit 1 [Source:MGI Symbol;Acc:MGI:1932339]","Sf3b1","ENSMUSG00000025982.13","ENSMUST00000027127.13","protein_coding","protein_coding","1:54985169:55027481:-1",1.24278845785026,1.7267497,1.11579282310336,1.2648613,3,15,5,11,14.021532,0.9336568,1.02226198573631e-38,5.70832768674475e-38
"KY.Chr1.1129","KY.Chr1.1129","Sf3b1-KY.Chr1.1129","nan","Sf3b1-KY.Chr1.1129","nan","nan","1:54985169:55027481:-1 ENSMUSG00000025982.13 ENSMUST00000027127.13 protein_coding protein_coding Sf3b1 splicing factor 3b, subunit 1 [Source:MGI Symbol;Acc:MGI:1932339]","Sf3b1","ENSMUSG00000025982.13","ENSMUST00000027127.13","protein_coding","protein_coding","1:54985169:55027481:-1",0.253349238556299,0.2529416,0.173248557125268,0.3228409,1,29,6,4,1.7684036,0.3977148,0.0773552575526051,0.090185286721698
"KY.Chr1.1133","KY.Chr1.1133","Grb10-KY.Chr1.1133","KH.C1.1056","Grb10-KY.Chr1.1133","GRB10","GRB10/14/7","11:11930508:12027971:-1 ENSMUSG00000020176.17 ENSMUST00000109654.7 protein_coding protein_coding Grb10 growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]","Grb10","ENSMUSG00000020176.17","ENSMUST00000109654.7","protein_coding","protein_coding","11:11930508:12027971:-1",0.294742996733074,0.3910863,0.212631409392644,0.51641315,1,27,6,0,8.0171175,1.8845329,2.98682842507679e-15,7.46478825282871e-15
